,City,Latitude,Longitude,Cloudiness,Wind Speed,Temperature,Humidity
89,Ponta Delgada,37.73,-25.67,75,5.1,290.15,82
90,Ylivieska,64.07,24.53,99,8.05,273.71,90
91,Belyy Yar,53.6,91.39,100,1.0,263.15,78
92,Guaymas,27.92,-110.9,0,2.68,287.59,41
93,Kaeo,-35.1,173.78,88,0.89,295.93,62
94,Notre-Dame-du-Lac,47.61,-68.8,90,4.1,275.93,94
95,Havre-Saint-Pierre,50.23,-63.6,90,2.1,264.15,92
96,Vardo,39.62,-77.74,90,2.6,282.59,93
97,Oistins,13.07,-59.53,20,3.1,298.15,78
98,Manokwari,-0.87,134.08,64,2.42,298.32,88
99,Springfield,42.1,-72.59,90,0.46,280.93,93
100,Phangnga,8.45,98.53,20,5.1,303.15,62
101,Vitina,41.43,24.76,21,0.89,278.71,51
102,Sitka,37.17,-99.65,0,2.82,275.93,59
103,Bage,12.95,75.85,9,1.65,294.45,69
104,Upernavik,72.79,-56.15,100,7.98,247.92,97
105,Kununurra,-15.77,128.74,44,2.1,303.15,70
106,Bilibino,68.06,166.44,0,0.6,251.91,55
107,Ekibastuz,51.72,75.32,35,5.2,263.36,89
108,Sheksna,59.21,38.5,90,3.0,274.15,88
109,Norton,41.97,-71.19,90,2.1,282.15,81
110,Mar del Plata,-46.43,-67.52,13,5.74,290.01,59
111,Hermanus,-34.42,19.24,0,1.34,290.93,88
112,Kapaa,22.08,-159.32,75,8.2,299.15,73
113,Kavaratti,10.57,72.64,20,3.1,303.15,70
114,Chuy,-33.69,-53.46,0,3.56,291.64,82
115,Qaanaaq,77.48,-69.36,100,2.49,232.95,97
116,Diffa,13.32,12.61,82,5.72,286.89,36
117,Santa Cecilia,9.85,-84.31,100,1.5,294.15,94
118,Kavieng,-2.57,150.8,100,1.88,302.61,68
119,Nuuk,64.17,-51.74,97,6.7,268.15,79
120,Sambava,-14.27,50.17,39,1.14,295.54,96
121,Aquiraz,-3.9,-38.39,40,2.1,303.15,78
122,Turukhansk,65.8,87.96,100,5.77,252.84,92
123,Clyde River,70.47,-68.59,1,1.5,237.15,66
124,Susanville,40.42,-120.65,1,0.61,280.37,72
125,Lagoa,37.14,-8.45,0,3.6,283.71,81
126,Umm Lajj,25.02,37.27,0,5.54,285.96,53
127,Kathu,-27.7,23.05,1,2.95,291.48,89
128,Lazaro Cardenas,28.39,-105.62,5,3.1,277.59,69
129,Hargeysa,9.56,44.06,63,6.48,288.38,93
130,Ribeira Brava,32.65,-17.07,40,4.1,290.15,72
131,Auki,12.18,6.51,30,8.44,287.2,25
132,Vaini,15.34,74.49,20,0.65,292.15,82
133,Torbay,47.66,-52.73,40,9.8,272.59,86
134,Araouane,18.9,-3.53,48,5.9,285.64,29
135,Dali,34.79,109.94,100,3.58,279.6,49
136,Vila do Maio,15.13,-23.22,40,5.7,295.15,73
137,Garowe,8.41,48.48,98,3.01,294.45,78
138,Turtas,58.94,69.13,100,5.59,264.26,91
139,Jinchang,38.52,102.19,8,3.18,271.3,33
140,Port Macquarie,-31.43,152.91,0,6.2,312.15,27
141,Caconda,-13.73,15.06,100,2.9,289.41,97
142,Port Hedland,-20.31,118.58,90,5.7,307.15,52
143,Sibolga,1.74,98.78,0,0.61,303.2,58
144,Gurupi,-11.73,-49.07,100,2.67,295.87,95
145,Nichinan,31.65,131.31,0,4.1,287.15,28
146,Ornskoldsvik,63.29,18.72,54,9.8,275.15,59
147,Pisco,-13.71,-76.2,90,5.7,295.15,88
148,Lodwar,3.12,35.6,95,4.07,300.66,50
149,Langham,52.36,-106.96,75,2.6,264.26,85
150,Salalah,17.01,54.1,20,3.1,294.15,64
151,Maua,0.23,37.94,35,1.0,292.0,90
152,Chitral,35.85,71.79,90,1.7,258.04,71
153,Kangaatsiaq,68.31,-53.46,100,3.48,267.13,91
154,Yumen,40.29,97.04,0,0.72,267.18,56
155,Grindavik,63.84,-22.43,100,8.7,271.15,58
156,Kirkland Lake,48.15,-80.03,90,5.1,270.15,79
157,Cabedelo,-6.97,-34.84,20,1.5,299.15,83
158,Road Town,18.42,-64.62,40,5.7,299.26,74
159,Roald,62.58,6.12,90,12.3,275.93,80
160,New Norfolk,-42.78,147.06,40,9.8,296.15,18
161,Sherman,33.64,-96.61,1,4.1,283.71,65
162,Grand Gaube,-20.01,57.66,75,1.0,298.15,94
163,Lakefield,44.42,-78.27,90,1.5,277.15,80
164,East London,-33.02,27.91,90,1.5,296.15,100
165,Zhoucheng,31.35,119.33,90,2.0,281.15,87
166,Butaritari,3.07,172.79,100,3.58,302.04,74
167,Sokolo,14.74,-6.12,0,4.62,286.41,20
168,Yellowknife,62.45,-114.38,5,3.1,250.37,83
169,Ust-Ilimsk,57.96,102.73,99,4.19,267.66,92
170,Kondinskoye,59.65,67.41,100,6.57,266.35,90
171,Carnarvon,-30.97,22.13,0,3.83,289.62,79
172,Narsaq,60.91,-46.05,100,18.5,274.15,31
173,Wenling,28.38,121.38,97,3.24,287.59,82
174,Ilhabela,-23.78,-45.36,72,3.19,297.91,86
175,Port Lincoln,-34.72,135.86,100,6.08,290.11,66
176,Prince Rupert,54.32,-130.32,90,8.7,276.15,93
177,Bredasdorp,-34.53,20.04,8,0.62,292.15,77
178,Westport,41.14,-73.36,90,1.5,282.15,93
179,Batemans Bay,-35.71,150.18,0,4.02,315.93,15
180,Khandbari,27.38,87.21,72,0.88,274.43,79
181,Ulladulla,-35.36,150.48,0,3.6,315.93,26
182,Manta,45.1,24.1,0,0.8,274.4,37
183,Dingle,11.0,122.67,47,5.86,299.48,83
184,Deputatskiy,69.3,139.9,0,0.36,244.8,96
185,Pacific Grove,36.62,-121.92,1,2.1,286.15,58
186,Benguela,-12.58,13.4,100,2.24,297.63,86
187,Wukari,7.87,9.78,5,4.38,292.06,28
188,Mulege,26.88,-111.98,0,5.14,289.45,56
189,Prince Albert,53.2,-105.75,90,2.26,265.15,92
190,Lompoc,34.64,-120.46,1,2.24,287.04,66
191,Yar-Sale,66.83,70.83,86,4.74,257.88,97
192,Sainte-Marie,46.45,-71.03,75,5.7,275.37,100
193,Santa Cruz,-6.22,-36.02,64,2.2,295.62,90
194,Sandviken,60.62,16.77,47,6.71,274.82,46
195,Brae,60.4,-1.35,80,9.3,276.15,69
196,Hovd,63.83,10.7,40,16.5,277.15,64
197,Meylan,45.21,5.78,75,3.1,280.93,93
198,Pevek,69.7,170.27,0,2.15,254.4,61
199,Killybegs,54.63,-8.45,100,2.24,279.82,91
200,Lakselv,70.05,24.96,100,13.4,273.15,87
201,San Andres,13.32,122.68,30,5.73,300.13,71
202,Coihaique,-45.58,-72.07,0,3.6,286.15,47
203,Marzuq,14.4,46.47,0,1.14,286.63,80
204,Betanzos,43.28,-8.21,90,1.0,280.93,100
205,Luleburgaz,41.4,27.36,75,5.7,275.37,64
206,Stillwater,36.12,-97.06,1,3.1,278.71,80
207,Khao Yoi,13.24,99.82,0,2.6,305.93,62
208,Norman Wells,65.28,-126.83,40,2.1,238.15,73
209,Tasiilaq,65.61,-37.64,100,3.6,267.15,41
210,Kurilsk,45.23,147.88,100,8.76,266.03,74
211,Leningradskiy,69.38,178.42,85,4.63,251.7,74
212,Adrar,27.87,-0.29,100,4.6,277.15,48
213,Tura,64.27,100.22,100,0.5,251.72,99
214,Honiara,-9.43,159.96,20,4.1,305.15,66
215,Constitucion,23.99,-104.67,5,2.1,279.26,60
216,Sumber,48.8,105.92,0,1.0,260.01,72
217,San Patricio,-26.98,-56.83,0,2.11,295.87,64
218,Quthing,-30.4,27.7,0,1.14,289.35,74
219,Tuy Hoa,13.08,109.3,100,8.81,297.54,76
220,Moanda,-5.93,12.38,100,2.72,298.5,90
221,Ahipara,-35.17,173.16,47,0.89,295.93,62
222,Isla Mujeres,21.23,-86.73,5,4.1,300.15,78
223,Altay,47.83,88.13,0,2.26,261.43,65
224,Alofi,-19.06,-169.92,3,2.6,300.15,83
225,Bismarck,46.81,-100.78,1,2.1,264.82,100
226,Fairbanks,64.84,-147.72,1,1.85,250.37,74
227,Nemuro,43.32,145.57,20,4.6,269.15,41
228,Flin Flon,54.77,-101.88,48,1.32,253.1,97
229,Anjozorobe,-18.4,47.88,40,1.5,290.15,100
230,Kaitangata,-46.28,169.85,92,15.44,283.29,72
231,Barentin,49.55,0.95,50,0.5,278.15,100
232,Townsville,-19.26,146.82,40,9.3,304.15,52
233,Boyolangu,-8.09,111.9,98,2.71,300.89,73
234,Wajima,37.4,136.9,75,1.5,277.15,69
235,Kabompo,-13.6,24.21,100,0.42,290.12,96
236,Dakar,14.69,-17.45,100,6.7,296.15,14
237,Uvat,59.14,68.9,100,5.59,264.26,91
238,Nelson Bay,-32.72,152.14,0,6.7,318.15,12
239,Hamilton,43.26,-79.87,90,3.1,278.71,80
240,Udachnyy,66.42,112.4,65,2.0,245.15,75
241,Ajdabiya,30.75,20.22,0,5.66,286.01,71
242,Port Moresby,-9.47,147.16,75,5.7,306.15,55
243,Luderitz,-26.65,15.16,0,6.2,290.15,77
244,New Baltimore,42.68,-82.74,90,1.5,277.04,74
245,Yulara,-25.24,130.99,40,6.2,303.15,45
246,Katsuura,33.93,134.5,40,5.7,285.15,37
247,Hualmay,-11.1,-77.61,100,1.99,292.83,84
248,Qaqortoq,60.72,-46.03,100,18.5,274.15,31
249,Lebu,8.96,38.73,20,3.1,285.15,71
250,Lermontovka,47.15,134.34,19,2.13,253.88,90
251,Ketchikan,55.34,-131.65,90,7.2,274.15,100
252,Hailar,49.2,119.7,5,3.18,255.28,96
253,Bathsheba,13.22,-59.52,20,3.1,298.15,78
254,Esperance,-33.86,121.89,40,4.6,293.15,42
255,Alcacer do Sal,38.37,-8.51,0,1.5,283.71,93
256,Cidreira,-30.17,-50.22,9,11.18,295.96,78
257,Cairns,-16.92,145.77,75,6.2,302.04,88
258,Iqaluit,63.75,-68.52,90,1.5,260.15,84
259,Atasu,48.68,71.64,83,1.74,264.66,92
260,Te Anau,-45.41,167.72,96,4.05,285.45,56
261,Urla,38.32,26.77,58,3.6,283.15,65
262,Albanel,48.88,-72.44,90,3.6,274.15,80
263,Huilong,31.15,106.5,97,0.58,283.5,62
264,Irondequoit,43.21,-77.58,90,1.53,279.15,80
265,Ust-Nera,64.57,143.24,68,0.92,248.26,98
266,Sampit,-2.54,112.95,90,1.47,304.34,56
267,Bikaner,28.02,73.32,0,2.8,286.33,49
268,Petropavlovsk-Kamchatskiy,53.05,158.65,40,3.0,264.15,78
269,San Luis,-33.3,-66.34,0,4.19,300.36,42
270,Tiarei,-17.53,-149.33,75,2.6,302.15,70
271,Along,28.17,94.8,97,0.32,285.95,93
272,Tutoia,-2.76,-42.27,100,1.9,297.5,94
273,Djambala,-2.55,14.76,90,0.64,294.4,72
274,Kalmunai,7.42,81.82,8,4.51,300.94,74
275,Ossora,59.24,163.07,100,6.1,269.24,84
276,Villa Bruzual,9.33,-69.12,5,4.32,296.61,77
277,Meulaboh,4.14,96.13,0,2.32,299.95,77
278,Chancay,-11.56,-77.27,20,5.7,295.15,83
279,Saint George,39.45,22.34,0,0.84,275.37,86
280,Launceston,-41.43,147.14,40,6.2,296.48,46
281,Mogadishu,2.04,45.34,18,9.05,299.9,79
282,Puerto Escondido,15.86,-97.07,40,1.36,300.15,74
283,Tilichiki,60.47,166.1,0,3.31,254.44,76
284,Victoria,5.28,115.24,75,3.6,303.15,74
285,Iquitos,-3.75,-73.25,0,1.5,298.15,88
286,Boyabat,41.47,34.77,96,0.5,272.62,85
287,Jalu,29.03,21.55,48,4.0,283.06,88
288,Soure,40.06,-8.63,40,1.5,285.37,100
289,Ilulissat,69.22,-51.1,100,6.2,265.15,61
290,Souillac,45.6,-0.6,90,2.1,282.15,93
291,Bolobo,-2.17,16.23,66,0.37,295.31,48
292,Voyinka,45.87,33.99,100,3.05,277.53,74
293,Avera,33.19,-82.53,90,1.65,291.15,85
294,Sur,22.57,59.53,0,2.26,292.7,65
295,Sanguem,15.23,74.14,1,3.1,296.15,73
296,Liesveld,51.93,4.83,40,4.6,280.37,87
297,Ponta do Sol,-20.63,-46.0,100,1.68,292.88,96
298,Alice Springs,-23.7,133.88,71,3.1,310.15,19
299,La Reforma,25.08,-108.06,5,1.0,291.48,77
300,Jardim do Serido,-6.58,-36.77,17,5.44,299.24,66
301,Ambanja,-13.68,48.45,20,1.0,297.15,100
302,Egvekinot,66.32,-179.17,0,5.11,248.61,71
303,Bereda,43.27,-7.54,90,1.0,282.59,100
304,Van Buren,47.16,-67.94,90,4.1,276.15,99
305,Honningsvag,70.98,25.97,98,9.6,276.11,70
306,Banyo,6.75,11.81,0,1.06,287.58,37
307,Bahjoi,28.39,78.62,0,0.86,286.17,82
308,Hirara,24.8,125.28,20,3.6,296.15,60
309,Haines Junction,60.75,-137.51,100,2.65,249.99,99
310,Itoman,26.12,127.67,20,3.6,295.15,56
311,Zavetnoye,47.12,43.89,0,2.51,271.03,85
312,Benton Harbor,42.12,-86.45,90,3.15,275.93,86
313,Quatre Cocos,-20.21,57.76,75,1.0,298.15,94
314,San Rafael,-34.61,-68.33,0,5.64,301.68,32
315,Huarmey,-10.07,-78.15,100,1.03,293.78,78
316,Conselheiro Pena,-19.17,-41.47,100,1.01,296.54,89
317,Mackenzie,55.34,-123.09,90,3.96,266.15,85
318,Gotsu,35.01,132.22,75,7.2,284.15,53
319,Peleduy,59.63,112.75,100,6.44,269.4,93
320,Aginskoye,51.11,114.54,0,1.42,262.0,79
321,Luangwa,-15.62,30.4,100,1.01,295.4,90
322,Qasigiannguit,68.82,-51.19,100,6.2,265.15,61
323,Papara,-3.98,-38.73,40,2.1,303.15,78
324,Orlik,53.95,17.74,75,9.3,277.15,86
325,Hammerfest,70.66,23.68,75,7.2,273.15,89
326,Tamasane,-22.42,27.4,0,2.5,296.12,52
327,Mehamn,71.03,27.85,85,6.66,272.75,83
328,Itarema,-2.92,-39.92,100,2.35,299.52,84
329,Corrales,5.83,-72.84,73,0.74,282.16,98
330,Algemesi,39.18,-0.43,20,1.5,283.15,93
331,Ahuimanu,21.44,-157.84,90,6.22,299.15,88
332,Tezu,27.93,96.16,100,0.75,286.72,99
333,Wahiawa,21.5,-158.02,90,6.22,299.15,88
334,Palmas,-10.18,-48.33,75,1.0,297.15,94
335,Pavlodar,52.28,76.96,75,4.0,266.15,92
336,Halifax,44.65,-63.58,75,3.1,276.48,85
337,Fortuna,40.6,-124.16,1,9.8,287.15,50
338,Turbat,26.0,63.05,15,1.02,289.65,89
339,Kapuskasing,49.42,-82.43,5,2.1,258.15,92
340,Timra,62.49,17.33,0,7.2,275.37,59
341,Piacabucu,-10.41,-36.43,100,3.92,298.98,81
342,Ambon,47.55,-2.56,75,3.1,279.82,86
343,Awjilah,29.14,21.3,48,4.0,283.06,88
344,Oxford,33.61,-85.83,90,2.6,287.59,100
345,Biak,-0.91,122.88,100,3.28,303.06,70
346,Barbastro,42.04,0.13,90,1.0,276.48,100
347,Alekseyevka,53.25,50.49,75,7.0,272.15,86
348,Harwich,41.69,-70.08,90,5.53,280.93,93
349,Touros,-5.2,-35.46,40,3.1,299.15,78
350,Nanortalik,60.14,-45.24,100,2.62,271.18,63
351,Airai,-8.93,125.41,100,2.83,293.88,92
352,Sulechow,52.08,15.63,67,5.32,277.59,43
353,Kabare,-1.65,29.38,100,0.5,283.93,90
354,Vestmanna,62.16,-7.17,54,4.1,275.15,69
355,Lyuban,52.8,28.0,100,5.45,272.36,91
356,Marawi,8.0,124.29,23,2.68,300.93,76
357,Buta,2.79,24.73,100,1.05,297.68,56
358,Evensk,61.92,159.24,100,4.74,260.6,69
359,Suba,28.73,103.51,98,1.26,276.46,79
360,Mecca,21.43,39.83,86,2.98,293.02,68
361,Marrakesh,31.63,-7.99,45,1.0,280.15,87
362,Saint-Augustin,45.63,-73.98,90,1.0,277.15,97
363,Verkhnevilyuysk,63.45,120.31,100,2.73,248.03,97
364,Yatou,3.63,9.81,40,1.0,299.15,94
365,Panama City,30.16,-85.65,75,2.8,295.37,94
366,Cherskiy,68.75,161.3,0,4.61,255.91,64
367,Wageningen,51.98,5.66,90,3.6,279.26,93
368,Hirado,33.32,129.49,0,5.7,285.15,54
369,Khor,47.88,134.96,5,4.2,253.04,90
370,Rupert,42.62,-113.68,1,3.27,274.15,74
371,Port Hardy,50.7,-127.42,75,5.7,279.15,87
372,Aklavik,68.22,-135.01,90,3.1,245.15,75
373,Gisborne,-38.66,178.02,100,3.13,290.37,57
374,Fort Saint James,54.43,-124.25,100,7.49,274.78,89
375,Sijunjung,-0.69,100.95,67,1.09,299.86,73
376,Sao Joao da Barra,-21.64,-41.05,100,3.48,296.82,91
377,Porosozero,62.72,32.71,33,4.98,271.4,78
378,Edeia,-17.34,-49.93,100,3.54,295.29,94
379,Capao Bonito,-24.01,-48.35,96,3.12,291.8,88
380,Linhares,-19.38,-40.06,100,2.86,296.35,96
381,Arlit,18.74,7.39,0,4.3,283.89,35
382,Antofagasta,-23.65,-70.4,75,3.6,292.15,77
383,Srednekolymsk,67.46,153.71,43,1.15,255.81,71
384,Nevers,46.99,3.16,90,3.6,282.04,93
385,Dovolnoye,54.5,79.67,0,3.72,255.65,96
386,Ontario,34.07,-117.65,1,2.1,290.15,44
387,Leh,34.16,77.58,100,1.12,255.0,67
388,San Quintin,17.54,120.52,0,2.28,301.2,53
389,Pyapon,16.29,95.68,0,3.39,300.9,51
390,Los Llanos de Aridane,28.66,-17.92,52,5.7,290.15,55
391,Linqing,36.85,115.71,67,0.4,280.08,31
392,Cerea,45.19,11.21,14,1.0,277.04,92
393,Comodoro Rivadavia,-45.87,-67.48,26,9.3,294.15,19
394,Parabel,58.71,81.5,68,4.44,260.1,92
395,Enid,36.4,-97.88,1,2.1,276.15,60
396,Bayonne,43.49,-1.48,75,1.0,284.26,93
397,Beloha,-25.17,45.06,40,4.94,295.86,90
398,Guaimaro,10.58,-74.71,21,4.6,301.15,74
399,Russell,38.9,-98.86,90,3.6,277.04,59
400,Davila,18.47,120.58,20,2.1,303.15,51
401,Kupang,-10.16,123.6,90,1.0,301.15,83
402,Ola,59.58,151.3,51,20.68,266.09,75
403,Eyl,7.98,49.82,99,8.59,298.7,80
404,Jamame,0.07,42.75,82,9.13,300.59,81
405,Dawson Creek,55.76,-120.23,90,3.1,265.15,85
406,Jauja,-11.78,-75.5,100,3.43,278.2,92
407,Bang Saphan,11.21,99.51,75,3.1,303.15,70
408,Aqtobe,50.28,57.21,90,6.0,266.15,92
409,Sangar,63.92,127.47,98,4.71,244.44,86
410,Kushiro,43.11,144.15,20,4.1,269.15,41
411,Visby,57.64,18.3,67,7.2,276.15,86
412,Nosy Varika,-20.58,48.53,100,3.42,297.51,92
413,Chingirlau,51.09,54.08,100,4.78,269.3,94
414,San Clemente,33.43,-117.61,1,0.96,289.15,62
415,Port Keats,-14.25,129.55,90,4.55,306.61,54
416,Bilma,18.69,12.92,0,4.94,281.08,53
417,Marienburg,52.12,9.98,20,4.6,278.15,86
418,Solginskiy,61.05,41.34,100,6.8,274.38,96
419,North Branch,45.51,-92.98,90,2.41,268.15,85
420,Bar Harbor,44.39,-68.2,1,1.9,276.48,100
421,Nicoya,10.15,-85.45,87,2.1,298.15,73
422,Jodiya,22.69,70.31,18,1.0,285.15,87
423,Yelizovo,53.19,158.38,40,3.0,264.15,78
424,Sulangan,11.14,123.72,100,5.94,300.42,76
425,Trairi,-3.28,-39.27,100,0.6,297.43,92
426,Perth,-31.95,115.86,0,6.2,295.93,19
427,Bayji,34.93,43.49,94,1.05,282.09,60
428,Vanimo,-2.67,141.3,100,9.94,300.93,82
429,Lulea,65.58,22.15,90,1.0,270.15,92
430,Guarapari,-20.67,-40.5,90,1.0,297.15,94
431,Cam Ranh,11.92,109.15,20,8.7,302.15,70
432,Moerai,-22.43,-151.33,100,5.19,298.77,88
433,Cabimas,10.39,-71.44,6,5.97,300.13,70
434,Nyrob,60.74,56.73,100,5.49,273.2,96
435,Raudeberg,61.99,5.14,72,16.5,277.15,64
436,Portland,43.66,-70.25,90,5.78,277.59,74
437,Muravlenko,63.79,74.5,88,8.7,259.93,91
438,Teguldet,57.31,88.17,100,3.87,267.5,94
439,Soledar,48.69,38.06,95,4.76,274.03,87
440,Gondar,41.82,-8.78,75,2.1,284.15,100
441,Iberia,-11.41,-69.49,100,0.98,295.23,97
442,Passa Quatro,-22.39,-44.97,100,0.5,291.12,99
443,Laguna,16.17,-88.94,3,0.63,296.15,100
444,Sola,-3.17,33.8,74,5.17,290.89,77
445,Karaidel,55.83,56.91,100,7.77,269.29,93
446,Matucana,-11.84,-76.39,70,0.4,285.97,87
447,Tricase,39.93,18.36,5,1.0,278.15,93
448,Saint Andrews,-44.53,171.19,69,4.02,291.48,34
449,Harper,30.3,-99.24,1,4.45,282.04,74
450,Vao,59.1,26.19,0,5.68,274.2,76
451,Karratha,-20.74,116.85,0,7.35,302.08,80
452,Vicosa do Ceara,-3.56,-41.09,100,0.94,296.82,93
453,Lalsot,26.56,76.33,40,1.5,287.15,82
454,Concordia,-31.4,-58.02,0,1.79,294.82,71
455,Talnakh,69.49,88.39,100,8.0,254.15,77
456,Alta Floresta,-9.87,-56.08,91,2.92,295.0,97
457,Dalvik,57.79,14.13,33,7.2,275.37,80
458,Nambucca Heads,-30.64,152.99,0,12.3,311.48,61
459,Noyabrsk,63.2,75.45,100,9.71,259.93,92
460,El Reno,35.53,-97.96,1,2.6,279.26,61
461,Saint-Louis,16.03,-16.5,100,3.1,294.15,28
462,Mount Isa,-20.73,139.49,40,5.7,312.15,22
463,San Marcos de Colon,13.43,-86.8,52,0.63,294.75,73
464,Mitsamiouli,-11.38,43.28,20,2.6,299.15,83
465,Rawson,-43.3,-65.11,0,9.81,293.8,58
466,Tacuarembo,-31.73,-55.98,0,4.32,290.77,80
467,Tawau,4.26,117.89,75,2.6,302.15,79
468,Severo-Kurilsk,50.68,156.12,100,7.41,269.34,81
469,Lebanon,40.34,-76.42,90,0.86,281.48,100
470,Chase,38.35,-98.35,90,6.2,277.04,59
471,Northam,-31.65,116.67,0,3.6,295.15,19
472,Zyryanka,65.73,150.89,43,4.18,256.05,78
473,Yangambi,0.77,24.47,100,0.34,295.42,94
474,Roznov,46.84,26.51,0,1.83,272.04,100
475,Berlevag,70.86,29.09,43,9.55,275.42,78
476,Yashkul,46.17,45.34,0,2.5,271.54,83
477,Tsabong,-26.02,22.4,0,3.06,300.11,40
478,Rongcheng,37.16,122.42,0,5.43,282.04,62
479,Thouars,46.98,-0.22,75,3.1,280.93,87
